Designator,Val,Package,MidX,MidY,Rotation,Side
C1,220nF,C_0805_2012Metric,113,-96.5,0,top
C2,0.1uF,C_0805_2012Metric,109,-89.5,0,top
C3,10nF,C_0805_2012Metric,109,-93,0,top
C4,0.1uF,C_0805_2012Metric,109,-96.5,0,top
C5,10uF,C_0805_2012Metric,92.98,-54.05,90,top
C6,10uF,C_0805_2012Metric,95.99,-54.05,90,top
C7,1uF,C_0805_2012Metric,99,-54.05,90,top
C8,1uF,C_0805_2012Metric,87.95,-54.5,0,top
C9,0.1uF,C_0805_2012Metric,132.395,-92.6725,0,top
C10,0.1uF,C_0805_2012Metric,88.995,-92.6825,0,top
C11,220uF,CP_Radial_D10.0mm_P5.00mm,94.445,-79,0,top
C12,0.1uF,C_0805_2012Metric,132.395,-95.1925,0,top
C13,220uF,CP_Radial_D10.0mm_P5.00mm,120.5773,-79,0,top
C14,0.1uF,C_0805_2012Metric,88.995,-95.1825,0,top
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,95.225,-121.5,90,top
J2,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,80.095,-61.46,0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4085,107.62,-117.975,0,top
J5,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,80.095,-109.46,0,top
J6,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,141.095,-61.46,0,top
J7,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,141.095,-109.46,0,top
R1,5.1k,R_0805_2012Metric,95.5,-61.5,90,top
R15,5.1k,R_0805_2012Metric,103.845,-119.5,-90,top
R16,5.1k,R_0805_2012Metric,117.345,-119.5,-90,top
SW1,SW_SPDT,SS-12D10G5_XKB,106.5941,-110,180,top
SW2,SW_Push,SW_Push_1P1T_NO_CK_KSC6xxJ,110.595,-79.5,0,top
SW5,SW_Push,SW_Push_1P1T_NO_CK_KSC6xxJ,89.4,-61.5,0,top
SW6,SW_Push,SW_Push_1P1T_NO_CK_KSC6xxJ,133,-62.5,0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,110.595,-57.5,0,top
U2,LIS2MDL,LGA-12_2x2mm_P0.5mm,113,-93,0,top
U3,L293DD013TR,SOIC127P1032X265-20N,97.2927,-93.9325,0,top
U4,L293DD013TR,SOIC127P1032X265-20N,123.425,-93.9325,0,top
U6,LM1084-3.3,TO254P1524X483-4N,123.4,-109.9,0,top
